,game_global_ranking,game_title,console,year_of_release,genre,publisher,northamerican_sales,europe_sales,japan_sales,othercontry_sales,world_sales,game_title_normalized
582,583,medal of honor,x360,2010,shooter,electronic arts,1.55,0.81,0.04,0.21,2.62 ,medalofhonor
583,584,fifa soccer 10,x360,2009,sports,electronic arts,0.59,1.79,0.01,0.23,2.62 ,fifasoccer10
584,585,nba 2k12,x360,2011,sports,take-two interactive,2.31,0.14,0.01,0.16,2.62 ,nba2k12
585,586,style savvy,ds,2008,simulation,nintendo,0.63,0.84,0.96,0.19,2.61 ,stylesavvy
586,587,harry potter and the chamber of secrets,ps2,2002,action,electronic arts,0.9,1.22,0.04,0.44,2.61 ,harrypotterandthechamberofsecrets
587,588,super mario all-stars: limited edition,wii,2010,platform,nintendo,1.02,0.52,0.92,0.14,2.6 ,supermarioall stars limitededition
588,589,streets of rage,gen,1990,action,sega,1.86,0.55,0.11,0.08,2.6 ,streetsofrage
589,590,fifa soccer 09,ps3,2008,sports,electronic arts,0.48,1.63,0.04,0.43,2.59 ,fifasoccer09
590,591,ratchet & clank future: tools of destruction,ps3,2007,platform,sony computer entertainment,0.93,1.12,0.08,0.45,2.59 ,ratchet clankfuture toolsofdestruction
591,592,nba live 2005,ps2,2004,sports,electronic arts,2.03,0.21,0.0,0.35,2.59 ,nbalive2005
592,593,littlebigplanet,psp,2009,platform,sony computer entertainment,0.64,1.24,0.01,0.69,2.58 ,littlebigplanet
593,594,killzone: shadow fall,ps4,2013,shooter,sony computer entertainment,0.89,1.33,0.07,0.28,2.58 ,killzone shadowfall
594,595,ghostbusters: the video game (ds version),x360,2009,action,take-two interactive,1.04,1.24,0.03,0.27,2.58 ,ghostbusters thevideogame dsversion 
595,596,monster hunter freedom 2,psp,2007,role-playing,capcom,0.37,0.27,1.75,0.18,2.58 ,monsterhunterfreedom2
596,597,wwe smackdown vs. raw 2007,ps2,2006,fighting,thq,1.4,0.88,0.03,0.26,2.58 ,wwesmackdownvs raw2007
597,598,ratchet & clank: up your arsenal,ps2,2004,platform,sony computer entertainment,1.31,0.74,0.31,0.22,2.57 ,ratchet clank upyourarsenal
598,599,art academy,ds,2010,misc,nintendo,0.28,1.68,0.33,0.28,2.57 ,artacademy
599,600,dragon age: origins,x360,2009,role-playing,electronic arts,1.76,0.56,0.03,0.22,2.57 ,dragonage origins
600,601,madden nfl 08,ps2,2007,sports,electronic arts,2.14,0.08,0.0,0.35,2.57 ,maddennfl08
601,602,sonic adventure 2 battle,gc,2001,platform,sega,1.7,0.59,0.21,0.07,2.56 ,sonicadventure2battle
602,603,dragon warrior ii,nes,1987,role-playing,enix corporation,0.15,0.0,2.41,0.0,2.56 ,dragonwarriorii
603,604,madden nfl 13,ps3,2012,sports,electronic arts,2.11,0.23,0.0,0.22,2.56 ,maddennfl13
604,605,pokémon colosseum,gc,2003,role-playing,nintendo,1.21,0.57,0.7,0.07,2.54 ,pokémoncolosseum
605,606,deca sports,wii,2008,sports,konami digital entertainment,1.13,0.87,0.29,0.25,2.54 ,decasports
606,607,madden nfl 09,x360,2008,sports,electronic arts,2.21,0.12,0.0,0.2,2.54 ,maddennfl09
608,609,crazy taxi,ps2,2001,racing,acclaim entertainment,1.13,1.12,0.06,0.22,2.52 ,crazytaxi
609,610,perfect dark,n64,2000,action,nintendo,1.55,0.75,0.16,0.06,2.52 ,perfectdark
610,611,game party,wii,2007,misc,midway games,1.5,0.78,0.0,0.24,2.52 ,gameparty
611,612,dragon warrior,nes,1986,role-playing,capcom,0.49,0.0,0.52,1.51,2.52 ,dragonwarrior
612,613,tomb raider (2013),ps3,2013,action,square enix,0.6,1.31,0.08,0.52,2.51 ,tombraider 2013 
613,614,marvel: ultimate alliance,x360,2006,role-playing,activision,2.29,0.02,0.0,0.19,2.5 ,marvel ultimatealliance
614,615,pes 2009: pro evolution soccer,ps2,2008,sports,konami digital entertainment,0.13,0.07,0.26,2.05,2.5 ,pes2009 proevolutionsoccer
615,616,mario party 2,n64,1999,misc,nintendo,1.28,0.14,1.08,0.01,2.5 ,marioparty2
616,617,saints row: the third,ps3,2011,action,thq,0.86,1.06,0.18,0.39,2.49 ,saintsrow thethird
617,618,rockstar games double pack: grand theft auto iii & grand theft auto vice city,xb,2003,action,take-two interactive,1.84,0.56,0.0,0.09,2.49 ,rockstargamesdoublepack grandtheftautoiii grandtheftautovicecity
618,619,lego harry potter: years 1-4,wii,2010,action,warner bros. interactive entertainment,1.29,0.97,0.0,0.23,2.49 ,legoharrypotter years1 4
619,620,mortal kombat: deadly alliance,ps2,2002,fighting,midway games,1.81,0.52,0.0,0.15,2.49 ,mortalkombat deadlyalliance
620,621,resistance 2,ps3,2008,shooter,sony computer entertainment,1.15,0.85,0.1,0.39,2.48 ,resistance2
621,622,pure,x360,2008,racing,disney interactive studios,1.38,0.85,0.0,0.25,2.48 ,pure
622,623,tomb raider: the last revelation,ps,1998,action,eidos interactive,1.15,1.14,0.06,0.13,2.48 ,tombraider thelastrevelation
623,624,nba 2k13,ps3,2012,sports,take-two interactive,1.72,0.44,0.05,0.27,2.48 ,nba2k13
625,626,nba 2k14,x360,2013,sports,take-two interactive,2.1,0.2,0.0,0.17,2.47 ,nba2k14
626,627,mario party 4,gc,2002,misc,nintendo,1.13,0.36,0.92,0.07,2.47 ,marioparty4
627,628,udraw studio,wii,2010,misc,thq,1.67,0.58,0.0,0.2,2.46 ,udrawstudio
628,629,midnight club: los angeles,ps3,2008,racing,take-two interactive,1.55,0.54,0.05,0.31,2.45 ,midnightclub losangeles
629,630,final fantasy v,snes,1992,role-playing,squaresoft,0.0,0.0,2.43,0.02,2.45 ,finalfantasyv
630,631,final fantasy tactics,ps,1997,role-playing,squaresoft,0.93,0.12,1.34,0.06,2.45 ,finalfantasytactics
631,632,twisted metal 2,ps,1996,racing,sony computer entertainment,2.12,0.25,0.0,0.07,2.44 ,twistedmetal2
632,633,halo: combat evolved anniversary,x360,2011,shooter,microsoft game studios,1.44,0.73,0.04,0.22,2.44 ,halo combatevolvedanniversary
633,634,need for speed carbon: own the city,psp,2006,racing,electronic arts,0.87,0.98,0.0,0.59,2.44 ,needforspeedcarbon ownthecity
634,635,the sims: bustin' out,ps2,2003,simulation,electronic arts,1.07,1.19,0.0,0.18,2.43 ,thesims bustin out
635,636,riven: the sequel to myst,pc,1997,adventure,red orb,1.52,0.82,0.0,0.1,2.43 ,riven thesequeltomyst
636,637,tom clancy's rainbow six: vegas 2,x360,2008,shooter,ubisoft,1.56,0.61,0.02,0.23,2.42 ,tomclancy srainbowsix vegas2
637,638,sonic adventure,dc,1998,platform,sega,1.26,0.61,0.46,0.08,2.42 ,sonicadventure
638,639,ice hockey,nes,1988,sports,nintendo,1.27,0.32,0.78,0.05,2.42 ,icehockey
639,640,pro evolution soccer 2011,ps3,2010,sports,konami digital entertainment,0.29,1.18,0.54,0.41,2.42 ,proevolutionsoccer2011
640,641,dragon ball z: budokai 2,ps2,2003,fighting,atari,1.63,0.22,0.51,0.06,2.41 ,dragonballz budokai2
641,642,atv offroad fury,ps2,2001,racing,sony computer entertainment,2.07,0.26,0.0,0.08,2.41 ,atvoffroadfury
642,643,dino crisis,ps,1998,action,capcom,0.81,0.76,0.7,0.14,2.41 ,dinocrisis
643,644,minecraft,xone,2014,misc,microsoft game studios,1.43,0.76,0.0,0.22,2.41 ,minecraft
644,645,need for speed: prostreet,ps2,2007,racing,electronic arts,0.69,0.0,0.04,1.68,2.41 ,needforspeed prostreet
645,646,madden nfl 16,xone,2015,sports,electronic arts,2.07,0.08,0.0,0.26,2.4 ,maddennfl16
646,647,tetris plus,ps,1996,puzzle,jvc,2.1,0.24,0.0,0.07,2.4 ,tetrisplus
647,648,pro wrestling,nes,1987,fighting,nintendo,0.77,0.18,1.42,0.03,2.4 ,prowrestling
648,649,theme hospital,pc,1997,strategy,electronic arts,2.3,0.1,0.0,0.0,2.4 ,themehospital
650,651,need for speed (2015),ps4,2015,racing,electronic arts,0.49,1.49,0.05,0.36,2.39 ,needforspeed 2015 
651,652,zumba fitness,x360,2010,sports,505 games,1.74,0.48,0.0,0.18,2.39 ,zumbafitness
653,655,monopoly,pc,1994,misc,hasbro interactive,1.49,0.81,0.0,0.1,2.39 ,monopoly
654,656,batman: arkham origins,ps3,2013,action,warner bros. interactive entertainment,1.07,0.87,0.04,0.4,2.39 ,batman arkhamorigins
655,657,dead island,x360,2011,action,deep silver,1.48,0.71,0.0,0.2,2.39 ,deadisland
656,658,guitar hero,ps2,2005,misc,redoctane,1.67,0.61,0.03,0.07,2.38 ,guitarhero
657,659,lego star wars: the complete saga,ps3,2007,action,lucasarts,1.02,0.97,0.0,0.39,2.38 ,legostarwars thecompletesaga
658,660,kinect: disneyland adventures,x360,2011,misc,microsoft game studios,1.73,0.46,0.02,0.18,2.38 ,kinect disneylandadventures
659,661,wcw/nwo revenge,n64,1998,fighting,thq,1.94,0.39,0.03,0.02,2.38 ,wcw nworevenge
660,662,bloodborne,ps4,2015,action,sony computer entertainment,1.0,0.76,0.26,0.36,2.38 ,bloodborne
661,663,nba 2k15,ps4,2014,sports,take-two interactive,1.46,0.54,0.01,0.37,2.38 ,nba2k15
662,664,madden nfl 11,ps3,2010,sports,electronic arts,2.04,0.15,0.0,0.19,2.38 ,maddennfl11
663,665,yu-gi-oh! the duelists of the roses,ps2,2001,misc,konami digital entertainment,1.16,0.91,0.0,0.3,2.38 ,yu gi oh theduelistsoftheroses
664,666,madden nfl 08,x360,2007,sports,electronic arts,2.18,0.01,0.0,0.18,2.37 ,maddennfl08
665,667,half-life 2,pc,2004,shooter,vivendi games,2.28,0.02,0.08,0.0,2.37 ,half life2
666,668,the incredibles,ps2,2004,action,thq,0.96,1.08,0.04,0.3,2.37 ,theincredibles
667,669,tony hawk's underground 2,ps2,2004,sports,activision,1.25,0.86,0.01,0.26,2.37 ,tonyhawk sunderground2
668,670,madden nfl 10,ps3,2009,sports,electronic arts,2.03,0.13,0.0,0.21,2.37 ,maddennfl10
669,671,kinect sports: season two,x360,2011,sports,microsoft game studios,1.38,0.74,0.02,0.22,2.36 ,kinectsports seasontwo
670,672,kirby's dream land 2,gb,1995,platform,nintendo,0.69,0.14,1.48,0.05,2.36 ,kirby sdreamland2
671,673,lego harry potter: years 1-4,ds,2010,action,warner bros. interactive entertainment,1.07,1.05,0.0,0.23,2.35 ,legoharrypotter years1 4
672,674,donkey kong land ii,gb,1996,platform,nintendo,1.39,0.48,0.4,0.08,2.35 ,donkeykonglandii
673,675,dragon warrior monsters,gb,1998,role-playing,eidos interactive,0.0,0.0,2.34,0.01,2.35 ,dragonwarriormonsters
674,676,midnight club: los angeles,x360,2008,racing,take-two interactive,1.68,0.46,0.01,0.2,2.35 ,midnightclub losangeles
675,677,skylanders swap force,wii,2013,platform,activision,1.32,0.83,0.0,0.2,2.34 ,skylandersswapforce
676,678,wwe smackdown vs raw 2008,ps2,2007,fighting,thq,0.92,0.0,0.01,1.41,2.34 ,wwesmackdownvsraw2008
677,679,my fitness coach,wii,2008,sports,ubisoft,1.2,0.9,0.0,0.24,2.34 ,myfitnesscoach
678,680,resident evil - code: veronica x,ps2,2001,action,capcom,1.08,0.7,0.34,0.21,2.34 ,residentevil code veronicax
679,681,the sims 3,x360,2010,simulation,electronic arts,1.27,0.86,0.0,0.2,2.33 ,thesims3
680,682,the legend of zelda: majora's mask 3d,3ds,2015,action,nintendo,1.14,0.54,0.47,0.17,2.32 ,thelegendofzelda majora smask3d
681,683,nba 2k16,xone,2015,sports,take-two interactive,1.93,0.14,0.0,0.24,2.32 ,nba2k16
682,684,just dance kids,wii,2010,misc,ubisoft,1.57,0.56,0.0,0.19,2.32 ,justdancekids
683,685,mario tennis,n64,2000,sports,nintendo,0.78,0.4,1.06,0.07,2.32 ,mariotennis
684,686,grand theft auto,ps,1997,action,take-two interactive,0.79,1.35,0.04,0.14,2.32 ,grandtheftauto
685,687,james bond 007: everything or nothing,ps2,2004,shooter,electronic arts,0.85,1.06,0.09,0.32,2.31 ,jamesbond007 everythingornothing
686,688,warioware touched!,ds,2004,puzzle,nintendo,0.52,0.45,1.21,0.13,2.31 ,wariowaretouched 
687,689,need for speed: high stakes,ps,1999,racing,electronic arts,1.58,0.64,0.0,0.09,2.31 ,needforspeed highstakes
688,690,chrono trigger,snes,1995,role-playing,squaresoft,0.28,0.0,2.02,0.01,2.31 ,chronotrigger
689,691,cool boarders 3,ps,1998,sports,989 studios,1.65,0.46,0.1,0.1,2.31 ,coolboarders3
690,692,lego marvel super heroes,x360,2013,action,warner bros. interactive entertainment,1.24,0.85,0.0,0.21,2.3 ,legomarvelsuperheroes
691,693,guild wars 2,pc,2012,action,ncsoft,0.95,1.06,0.0,0.29,2.3 ,guildwars2
692,694,pokemon ranger: shadows of almia,ds,2008,role-playing,nintendo,0.95,0.54,0.62,0.18,2.3 ,pokemonranger shadowsofalmia
693,695,dead island,ps3,2011,action,deep silver,1.08,0.75,0.15,0.31,2.29 ,deadisland
694,696,tomb raider ii,pc,1997,action,eidos interactive,0.91,1.25,0.0,0.13,2.29 ,tombraiderii
695,697,god of war: ascension,ps3,2013,action,sony computer entertainment,1.23,0.68,0.04,0.34,2.29 ,godofwar ascension
696,698,need for speed underground 2,xb,2004,racing,electronic arts,1.38,0.8,0.0,0.1,2.28 ,needforspeedunderground2
697,699,pro evolution soccer 2010,ps3,2009,sports,konami digital entertainment,0.3,1.27,0.46,0.26,2.28 ,proevolutionsoccer2010
698,700,just dance 2015,wii,2014,misc,ubisoft,1.11,0.98,0.0,0.2,2.28 ,justdance2015
699,701,yokai watch busters,3ds,2015,action,level 5,0.0,0.0,2.28,0.0,2.28 ,yokaiwatchbusters
700,702,mario bros.,nes,1983,platform,nintendo,0.51,0.12,1.63,0.02,2.28 ,mariobros 
701,703,fifa soccer 09,ps2,2008,sports,electronic arts,0.38,0.07,0.01,1.82,2.28 ,fifasoccer09
702,704,star wars: the force unleashed,ps3,2008,action,lucasarts,1.01,0.9,0.0,0.37,2.28 ,starwars theforceunleashed
703,705,borderlands 2,ps3,2012,shooter,take-two interactive,1.05,0.77,0.1,0.36,2.28 ,borderlands2
704,706,toca touring car championship,ps,1997,racing,codemasters,0.07,2.0,0.02,0.18,2.28 ,tocatouringcarchampionship
705,707,paper mario: sticker star,3ds,2012,role-playing,nintendo,1.12,0.39,0.64,0.12,2.27 ,papermario stickerstar
706,708,sonic's ultimate genesis collection,ps3,2009,misc,sega,1.34,0.62,0.0,0.31,2.27 ,sonic sultimategenesiscollection
707,709,super monkey ball: banana blitz,wii,2006,misc,sega,1.07,0.92,0.04,0.24,2.27 ,supermonkeyball bananablitz
708,710,kirby: nightmare in dream land,gba,2002,platform,nintendo,1.22,0.1,0.91,0.04,2.27 ,kirby nightmareindreamland
709,711,wario land 4,gba,2001,platform,nintendo,0.9,0.73,0.54,0.09,2.26 ,warioland4
710,712,guitar hero iii: legends of rock,ps3,2007,misc,activision,1.4,0.54,0.02,0.3,2.26 ,guitarheroiii legendsofrock
712,714,resident evil 4,wii,2007,action,capcom,1.34,0.57,0.14,0.21,2.26 ,residentevil4
713,715,minecraft,psv,2014,misc,sony computer entertainment europe,0.28,0.79,0.87,0.32,2.25 ,minecraft
714,716,onimusha 2: samurai's destiny,ps2,2002,adventure,capcom,0.62,0.44,1.06,0.13,2.25 ,onimusha2 samurai sdestiny
715,717,cool boarders 2,ps,1997,sports,uep systems,1.52,0.46,0.2,0.08,2.25 ,coolboarders2
716,718,paper mario: the thousand-year door,gc,2004,role-playing,nintendo,1.48,0.25,0.46,0.06,2.25 ,papermario thethousand yeardoor
717,719,madden nfl 12,ps3,2011,sports,electronic arts,1.93,0.15,0.0,0.17,2.25 ,maddennfl12
718,720,monster hunter tri,wii,2009,role-playing,nintendo,0.67,0.41,1.05,0.11,2.25 ,monsterhuntertri
719,721,dissidia: final fantasy,psp,2008,fighting,square enix,0.51,0.51,0.91,0.32,2.25 ,dissidia finalfantasy
720,722,sonic advance,gba,2001,platform,sega,1.19,0.71,0.22,0.13,2.24 ,sonicadvance
721,723,spyro: season of ice,gba,2001,platform,vivendi games,1.29,0.83,0.0,0.11,2.23 ,spyro seasonofice
722,724,teenage mutant ninja turtles ii: the arcade game,nes,1990,action,konami digital entertainment,1.74,0.25,0.21,0.03,2.23 ,teenagemutantninjaturtlesii thearcadegame
723,725,lego indiana jones: the original adventures,ds,2008,action,activision,1.42,0.61,0.0,0.21,2.23 ,legoindianajones theoriginaladventures
724,726,dance dance revolution x2,ps2,2009,simulation,konami digital entertainment,1.09,0.85,0.0,0.28,2.23 ,dancedancerevolutionx2
725,727,new super luigi u,wiiu,2013,platform,nintendo,1.27,0.62,0.18,0.16,2.22 ,newsuperluigiu
726,728,prince of persia: the sands of time,ps2,2003,action,ubisoft,0.88,1.03,0.0,0.31,2.22 ,princeofpersia thesandsoftime
727,729,scribblenauts,ds,2009,puzzle,warner bros. interactive entertainment,1.71,0.32,0.02,0.18,2.22 ,scribblenauts
728,730,the legend of zelda: link's awakening dx,gb,1998,adventure,nintendo,1.0,0.63,0.45,0.13,2.22 ,thelegendofzelda link sawakeningdx
729,731,need for speed: hot pursuit,x360,2010,racing,electronic arts,1.03,0.98,0.0,0.21,2.22 ,needforspeed hotpursuit
730,732,bioshock 2,x360,2010,shooter,take-two interactive,1.45,0.55,0.02,0.19,2.21 ,bioshock2
731,733,assassin's creed iv: black flag,xone,2013,action,ubisoft,1.47,0.55,0.0,0.19,2.21 ,assassin screediv blackflag
732,734,devil may cry 3: dante's awakening special edition,ps2,2006,action,capcom,1.06,0.82,0.05,0.28,2.21 ,devilmaycry3 dante sawakeningspecialedition
733,735,rock band 2,x360,2008,misc,electronic arts,1.78,0.24,0.0,0.18,2.2 ,rockband2
734,736,frogger,2600,1981,action,parker bros.,2.06,0.12,0.0,0.02,2.2 ,frogger
735,737,guitar hero ii,x360,2007,misc,activision,2.01,0.02,0.0,0.17,2.2 ,guitarheroii
736,738,wario land 3,gb,2000,platform,nintendo,1.11,0.51,0.34,0.23,2.2 ,warioland3
737,739,pro yakyuu family stadium,nes,1986,sports,namco bandai games,0.15,0.0,2.05,0.0,2.2 ,proyakyuufamilystadium
738,740,sonic unleashed,wii,2008,platform,sega,1.28,0.68,0.02,0.21,2.2 ,sonicunleashed
739,741,high school musical: makin' the cut!,ds,2007,puzzle,disney interactive studios,1.06,0.91,0.0,0.23,2.2 ,highschoolmusical makin thecut 
740,742,pro evolution soccer 2012,ps3,2011,action,konami digital entertainment,0.34,0.97,0.55,0.33,2.19 ,proevolutionsoccer2012
741,743,saints row,x360,2006,action,thq,1.17,0.78,0.02,0.22,2.19 ,saintsrow
742,744,star wars: knights of the old republic,xb,2003,role-playing,activision,1.68,0.44,0.0,0.08,2.19 ,starwars knightsoftheoldrepublic
743,745,kirby's pinball land,gb,1992,misc,nintendo,0.87,0.17,1.1,0.05,2.19 ,kirby spinballland
744,746,donkey kong country,gb,2000,platform,nintendo,1.04,0.72,0.3,0.13,2.19 ,donkeykongcountry
745,747,hitman: absolution,ps3,2012,action,square enix,0.59,1.07,0.07,0.45,2.19 ,hitman absolution
746,748,yu-gi-oh: duel monsters 4,gb,2000,role-playing,konami digital entertainment,0.0,0.0,2.17,0.01,2.18 ,yu gi oh duelmonsters4
747,749,atv offroad fury 2,ps2,2002,racing,thq,1.92,0.2,0.0,0.06,2.18 ,atvoffroadfury2
748,750,forza motorsport 5,xone,2013,racing,microsoft game studios,1.21,0.78,0.01,0.17,2.18 ,forzamotorsport5
749,751,madden nfl 25,x360,2013,sports,electronic arts,1.97,0.07,0.0,0.13,2.18 ,maddennfl25
750,752,pokemon ranger,ds,2006,role-playing,nintendo,1.29,0.04,0.73,0.12,2.18 ,pokemonranger
751,753,mario & luigi: superstar saga,gba,2003,role-playing,nintendo,1.48,0.17,0.47,0.06,2.17 ,mario luigi superstarsaga
752,754,final fantasy xiii,x360,2010,role-playing,square enix,1.27,0.68,0.01,0.2,2.17 ,finalfantasyxiii
753,755,star wars: rogue squadron,n64,1998,simulation,nintendo,1.6,0.46,0.08,0.03,2.17 ,starwars roguesquadron
754,756,tennis,nes,1984,sports,nintendo,0.48,0.11,1.56,0.02,2.17 ,tennis
755,757,the sims: house party,pc,2001,simulation,electronic arts,1.23,0.83,0.0,0.1,2.16 ,thesims houseparty
756,758,your shape featuring jenny mccarthy,wii,2009,sports,ubisoft,1.51,0.47,0.0,0.18,2.16 ,yourshapefeaturingjennymccarthy
757,759,syphon filter 2,ps,2000,shooter,sony computer entertainment,1.5,0.55,0.02,0.08,2.15 ,syphonfilter2
758,760,tom clancy's rainbow six: siege,ps4,2015,shooter,ubisoft,0.54,1.16,0.13,0.32,2.15 ,tomclancy srainbowsix siege
759,761,volleyball,nes,1987,sports,nintendo,0.14,0.03,1.98,0.0,2.15 ,volleyball
760,762,fifa 15,xone,2014,sports,electronic arts,0.6,1.41,0.0,0.14,2.15 ,fifa15
761,763,call of duty: roads to victory,psp,2007,shooter,activision,0.52,1.03,0.0,0.59,2.14 ,callofduty roadstovictory
762,764,super mario rpg: legend of the seven stars,snes,1996,role-playing,nintendo,0.66,0.0,1.45,0.03,2.14 ,supermariorpg legendofthesevenstars
763,765,mahjong,nes,1983,misc,nintendo,0.01,0.0,2.13,0.0,2.14 ,mahjong
764,766,r.c. pro-am,nes,1988,racing,nintendo,1.47,0.38,0.19,0.1,2.14 ,r c pro am
765,767,simcity 2000,pc,1992,simulation,maxis,1.2,0.84,0.0,0.1,2.14 ,simcity2000
766,768,demon attack,2600,1981,shooter,imagic,1.99,0.12,0.0,0.02,2.13 ,demonattack
767,769,dance dance revolution extreme,ps2,2004,simulation,konami digital entertainment,1.04,0.81,0.0,0.27,2.13 ,dancedancerevolutionextreme
768,770,tetris ds,ds,2006,puzzle,nintendo,0.64,0.07,1.35,0.08,2.13 ,tetrisds
769,771,final fantasy tactics advance,gba,2003,role-playing,squaresoft,0.82,0.37,0.89,0.05,2.13 ,finalfantasytacticsadvance
770,772,far cry: primal,ps4,2016,action,ubisoft,0.59,1.16,0.06,0.33,2.13 ,farcry primal
771,773,toy story 3: the video game,ds,2010,action,disney interactive studios,0.93,0.97,0.02,0.21,2.12 ,toystory3 thevideogame
772,774,final fantasy iii,ds,2006,role-playing,square enix,0.91,0.05,1.07,0.09,2.12 ,finalfantasyiii
773,775,kirby's epic yarn,wii,2010,platform,nintendo,1.47,0.09,0.45,0.11,2.12 ,kirby sepicyarn
774,776,project gotham racing,xb,2001,racing,microsoft game studios,1.37,0.61,0.05,0.09,2.12 ,projectgothamracing
775,777,golf,gb,1989,sports,nintendo,0.83,0.33,0.92,0.04,2.12 ,golf
776,778,nba 2k12,ps3,2011,sports,take-two interactive,1.61,0.27,0.05,0.18,2.11 ,nba2k12
777,779,borderlands,ps3,2009,shooter,take-two interactive,1.2,0.62,0.0,0.29,2.11 ,borderlands
778,780,tony hawk's pro skater,n64,2000,sports,activision,1.68,0.4,0.0,0.03,2.11 ,tonyhawk sproskater
779,781,pes 2009: pro evolution soccer,ps3,2008,sports,konami digital entertainment,0.11,1.34,0.4,0.26,2.11 ,pes2009 proevolutionsoccer
780,782,need for speed: hot pursuit 2,ps2,2002,racing,electronic arts,1.68,0.31,0.02,0.09,2.11 ,needforspeed hotpursuit2
781,783,mario sports mix,wii,2010,sports,nintendo,0.9,0.45,0.63,0.13,2.11 ,mariosportsmix
783,785,dynasty warriors 4,ps2,2003,action,tecmo koei,0.63,0.21,1.13,0.13,2.11 ,dynastywarriors4
784,786,mortal kombat,x360,2011,fighting,warner bros. interactive entertainment,1.63,0.33,0.0,0.15,2.11 ,mortalkombat
785,787,parasite eve,ps,1998,role-playing,squaresoft,0.94,0.07,1.05,0.04,2.1 ,parasiteeve
786,788,scooby-doo! night of 100 frights,ps2,2002,platform,thq,1.17,0.72,0.0,0.22,2.1 ,scooby doo nightof100frights
787,789,project gotham racing (jp weekly sales),xb,2002,action,microsoft game studios,1.54,0.44,0.04,0.07,2.1 ,projectgothamracing jpweeklysales 
788,790,need for speed: most wanted 5-1-0,psp,2005,racing,electronic arts,1.77,0.13,0.02,0.18,2.1 ,needforspeed mostwanted5 1 0
789,791,portal 2,x360,2011,shooter,valve software,1.41,0.51,0.01,0.17,2.1 ,portal2
790,792,devil may cry 3: dante's awakening,ps2,2005,action,capcom,0.99,0.63,0.29,0.19,2.09 ,devilmaycry3 dante sawakening
791,793,derby stallion,ps,1997,sports,ascii entertainment,0.0,0.0,1.96,0.14,2.09 ,derbystallion
792,794,dead rising,x360,2006,action,capcom,1.16,0.65,0.08,0.2,2.09 ,deadrising
793,795,finding nemo,ps2,2003,action,thq,1.26,0.6,0.05,0.18,2.09 ,findingnemo
794,796,nba 2k11,x360,2010,action,take-two interactive,1.84,0.12,0.01,0.13,2.09 ,nba2k11
795,797,wipeout: the game,wii,2009,misc,mindscape,1.97,0.0,0.0,0.12,2.09 ,wipeout thegame
796,798,the sims 2: pets,ds,2006,simulation,electronic arts,0.92,0.94,0.0,0.22,2.09 ,thesims2 pets
797,799,battlefield: hardline,ps4,2015,shooter,electronic arts,0.7,0.93,0.14,0.32,2.09 ,battlefield hardline
798,800,metal gear solid: peace walker,psp,2010,action,konami digital entertainment,0.46,0.42,0.96,0.25,2.09 ,metalgearsolid peacewalker
799,801,world of warcraft: cataclysm,pc,2010,role-playing,activision,1.77,0.32,0.0,0.0,2.08 ,worldofwarcraft cataclysm
800,802,tetris worlds,ps2,2002,puzzle,thq,1.11,0.71,0.0,0.27,2.08 ,tetrisworlds
801,803,need for speed: undercover,ps3,2008,racing,electronic arts,0.63,1.02,0.05,0.39,2.08 ,needforspeed undercover
802,804,dance dance revolution: hottest party,wii,2007,simulation,konami digital entertainment,1.36,0.52,0.0,0.2,2.08 ,dancedancerevolution hottestparty
803,805,mario party 5,gc,2003,misc,nintendo,0.97,0.33,0.73,0.06,2.08 ,marioparty5
804,806,ghostbusters: the video game (ds version),ps3,2010,action,take-two interactive,0.59,0.99,0.13,0.36,2.08 ,ghostbusters thevideogame dsversion 
805,807,sim theme park,pc,1998,strategy,electronic arts,2.04,0.04,0.0,0.0,2.08 ,simthemepark
806,808,warcraft: orcs & humans,pc,1994,strategy,activision,0.89,1.08,0.0,0.11,2.08 ,warcraft orcs humans
807,809,skate 3,ps3,2010,sports,electronic arts,0.79,0.94,0.0,0.35,2.08 ,skate3
808,810,spec ops: airborne commando,ps,2002,shooter,take-two interactive,1.54,0.46,0.0,0.08,2.07 ,specops airbornecommando
809,811,kingdom hearts: birth by sleep,psp,2010,role-playing,square enix,0.63,0.42,0.75,0.26,2.07 ,kingdomhearts birthbysleep
810,812,ufc 2009 undisputed,x360,2009,fighting,thq,1.48,0.39,0.0,0.19,2.07 ,ufc2009undisputed
811,813,dark souls,ps3,2011,role-playing,namco bandai games,0.75,0.54,0.54,0.23,2.07 ,darksouls
812,814,yu-gi-oh! the eternal duelist soul,gba,2001,strategy,konami digital entertainment,1.64,0.36,0.0,0.07,2.07 ,yu gi oh theeternalduelistsoul
813,815,need for speed: prostreet,x360,2007,racing,electronic arts,1.04,0.8,0.01,0.22,2.06 ,needforspeed prostreet
814,816,the sims 3,ps3,2010,simulation,electronic arts,0.73,0.97,0.02,0.34,2.06 ,thesims3
815,817,tom clancy's splinter cell: conviction,x360,2010,action,ubisoft,1.2,0.63,0.04,0.19,2.06 ,tomclancy ssplintercell conviction
816,818,pokemon mystery dungeon: red/blue rescue team,gba,2005,role-playing,nintendo,0.71,0.52,0.74,0.08,2.06 ,pokemonmysterydungeon red bluerescueteam
817,819,the incredibles,gba,2004,action,thq,1.15,0.77,0.04,0.1,2.06 ,theincredibles
